Tag,Nickname,Country,pfp,Illust,original_credit,Original_Message,Translation
てんりゅうコンビ二,てんりゅうコンビ二,Japan,1FDFAiy7OyzHiuO6TcTYtyM0RXN8l7kVL.png,,,デビュー1周年おめでとうございます！ししろんやねぽらぼ、ホロライブの行く末に幸多からんことを願っています！,
ToxicKiller265#1101,ToxicKiller265,United-States,Bodan.png,,,Happy 1 year anniversary! Botan I think you're so cool and funny. When you stream its a nice and chill vibe. I hope for more years of fun with you.,1周年おめでとう！ぼたんちゃんはとてもクールで面白い人だと思いますし、ぼたんちゃんの配信は落ち着いていて心地良いですね。これから先も何年も一緒に楽しんでいけたらと思います。
Diskord Name (Нокт#4997)/Twitter Name (@ノクト・ノクト「Nokt」),ノクト・ノクト「Nokt」,Russia,Bodan.png,nto821gxd7v61 - ノクト・ノクト「Nokt」.png,,"Шиширо Ботан поздравляю тебя с праздником. От всей души хочу пожелать тебе всего самого наилучшего. Спасибо тебе большое за то, что радуешь нас своими стримами и хорошим настроением. Твой SSRB.",獅白ぼたんさん、1周年おめでとうございます。心の底からぼたんさんの幸運を祈っています。みんなを幸せにしてくれる元気な配信に感謝です。あなたのSSRBより。
🧹Broom🧹#2052,Broom,Portugal,19A02m7V8vAhdkUppwHAK7AKWk3GvHvRl.png,,,Happy Debutversary to Gen 5's Papa Lion!!! I wanted you to know that you're amazing and wish you a happy career with lots of more moments not only as Gen5 but with your kouhais and senpais as well!!!,デビュバーサリーおめでとう、5期生のパパライオン!!! ぼたんちゃんはとても素晴らしい人だということをお伝えしたいです。そして、5期生だけでなく先輩や後輩のみなさんと素敵な時間をたくさん作って、ハッピーなキャリアを過ごしてくださいね!!!
Badingading#8424,Badingading,United-States,Bodan.png,,,Congratulations on your one-year anniversary!,1周年記念おめでとうございます！
ONC,ONC,,Bodan.png,,,ららーいおん～！ししろん、1周年おめでとう！これからも応援してるぜ～！！,
kurapan#8997,,Japan,Bodan.png,,,ししろん、一周年おめでとうございます！いつも楽しい配信をありがとうございます！これからも応援しています！,
Jobi da yo#1726/@【SSRBon】Jobi,Jobi,Philippines,Bodan.png,IMG_20210710_200642 - SSRBon Jobi.png,,"Happy 1 year anniversary Shishiron woooo! Thank you for always working hard and making us happy. I hope you continue to be as strong, lovely and cheerful as you are now. I will always support you forever! ししろん、いつもいつも大好き！",1周年おめでとう、ししろん、ウゥーーーー！いつも一生懸命努力してみんなをハッピーにしてくれてありがとう。これからも今までと同じように強くラブリーで陽気なあなたのままでいられることを願います。いつもいつまでもあなたを応援し続けます。「ししろん、いつもいつも大好き！」
露露Ingrid#2907 / 宮村露露(@ingridpiggy),露露Ingrid,Taiwan,FYchFYZu8tuMAswsGAMtKC0TEjgyf.jpg,,,ししろん真的是一位很溫柔又善良的人，我最近這麼強烈的覺得！看您的直播總是能獲得許多的安心感，也在SC環節或雜談時得到許多有用的人生觀，當然也很喜歡日常閒聊的！在回覆您的Twitter或是寫直播心得時，心得或留言因為日文還不夠好所以內容大致相同速度又很慢，希望不會讓您覺得很奇怪...。我真的看得很開心！謝謝您成為ししろん，能夠這麼大的世界中遇到您真的非常感謝！現在離100萬訂閱也不遠了，我真的很興奮也很期待，但希望ししろん不要為此感到壓力，能夠一如往常一直快樂的直播、玩遊戲、跟大家聊天就好了！ししろん一周年本当におめでとうございます！！！！！いつもありがとうございます！！！！！,ししろんは本当に温かくて優しい人と、最近そう強く思っています！ししろんの配信を見る度に安心感が得られて、SCや雑談をする時もたくさん有益な人生観をもらえました。もちろん、普通の話題をするのも大好きです！日本語はまだまだ上達していないため、Twitterの返事をする時や配信感想を書く時に時間が掛かってしまい、内容もほぼ同じになっています。変だと思われていなかったら幸いです...本当にいつも楽しんで見ています！ししろんになってくれて、この広い世界で出会うことが出来て本当にありがとうございます！登録者百万人達成も迫っていて、私は本当にわくわくしています！でもどうかプレッシャーを感じないでください、いつも通りに楽しく配信をして、ゲームを遊んで、みんなと喋ってるのが一番です！一周年本当におめでとうございます！！！！！いつもありがとうございます！！！！！
@NoroikoArt,Noroiko,Australia,Bodan.png,,,デビュー一周年、おめでとうございます！私がFPSが下手くそだから、FPS配信もあまり興味なかったと思って、SSRB民になるのがまさかのことでした。ししろんは第一印象がとてもクールなイメージに見えたが、その上にとても優しく思慮深く明るいライオンだとも気付いてきました。悩みがあっても、ししろんの配信を見ると大抵すぐ気晴らしになります。見れば見るほどとても気に入りました。かわいいSSRB民の一員になれて、よかったと思います。ずっと頑張っていて、楽しい配信や企画してくれてありがとうございます。これからも応援していきます！,
